"CD_CVM","EMPRESA","CD_CONTA","CONTA","PERIODO","VL_CONTA"
"20435","Tecnisa","1.01","1.01 - Ativo Circulante","4T20",704430
"20435","Tecnisa","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",101813
"20435","Tecnisa","1.01.02","1.01.02 - Aplicações Financeiras","4T20",141889
"20435","Tecnisa","1.01.03","1.01.03 - Contas a Receber","4T20",47172
"20435","Tecnisa","1.01.04","1.01.04 - Estoques","4T20",376296
"20435","Tecnisa","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",37260
"20435","Tecnisa","1.02","1.02 - Ativo Não Circulante","4T20",1039377
"20435","Tecnisa","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",427405
"20435","Tecnisa","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",56339
"20435","Tecnisa","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",147733
"20435","Tecnisa","1.02.01.05","1.02.01.03 - Estoques","4T20",115132
"20435","Tecnisa","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",10971
"20435","Tecnisa","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",97230
"20435","Tecnisa","1.02.02","1.02.02 - Investimentos","4T20",583615
"20435","Tecnisa","1.02.03","1.02.03 - Imobilizado","4T20",9945
"20435","Tecnisa","1.02.04","1.02.04 - Intangível","4T20",18412
"20605","JHSF","1","1 - Ativo Total","4T20",7282039
"20605","JHSF","1.01","1.01 - Ativo Circulante","4T20",1859590
"20605","JHSF","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",480160
"20605","JHSF","1.01.02","1.01.02 - Aplicações Financeiras","4T20",561109
"20605","JHSF","1.01.03","1.01.03 - Contas a Receber","4T20",418490
"20605","JHSF","1.01.04","1.01.04 - Estoques","4T20",246678
"20605","JHSF","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",153153
"20605","JHSF","1.02","1.02 - Ativo Não Circulante","4T20",5422449
"20605","JHSF","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",923352
"20605","JHSF","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"20605","JHSF","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",210734
"20605","JHSF","1.02.01.05","1.02.01.03 - Estoques","4T20",675520
"20605","JHSF","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",19789
"20605","JHSF","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",17309
"20605","JHSF","1.02.02","1.02.02 - Investimentos","4T20",3312587
"20605","JHSF","1.02.03","1.02.03 - Imobilizado","4T20",1077871
"20605","JHSF","1.02.04","1.02.04 - Intangível","4T20",108639
"20770","Ez Tec","1","1 - Ativo Total","4T20",4716450
"20770","Ez Tec","1.01","1.01 - Ativo Circulante","4T20",2147664
"20770","Ez Tec","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",77351
"20770","Ez Tec","1.01.02","1.01.02 - Aplicações Financeiras","4T20",999357
"20770","Ez Tec","1.01.03","1.01.03 - Contas a Receber","4T20",277096
"20770","Ez Tec","1.01.04","1.01.04 - Estoques","4T20",756985
"20770","Ez Tec","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",36875
"20770","Ez Tec","1.02","1.02 - Ativo Não Circulante","4T20",2568786
"20770","Ez Tec","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",2152037
"20770","Ez Tec","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"20770","Ez Tec","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",893092
"20770","Ez Tec","1.02.01.05","1.02.01.03 - Estoques","4T20",1112290
"20770","Ez Tec","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",146655
"20770","Ez Tec","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",0
"20770","Ez Tec","1.02.02","1.02.02 - Investimentos","4T20",398200
"20770","Ez Tec","1.02.03","1.02.03 - Imobilizado","4T20",17745
"20770","Ez Tec","1.02.04","1.02.04 - Intangível","4T20",804
"20915","MRV","1","1 - Ativo Total","4T20",18062015
"20915","MRV","1.01","1.01 - Ativo Circulante","4T20",8564095
"20915","MRV","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",1080705
"20915","MRV","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
